"colnames.y_agg_harvest.1.22..","smape","rmse","bias","acc"
"arima",12.7636850383775,369493.474854547,0.48,1.09302698781904
"arima_reg",11.5955502131061,378343.220144904,0.52,1.17348804450852
"RF",12.4077841676978,420004.553959412,0.36,1.08247896819874
"xgb",19.9171692330197,611248.702183019,0.32,0.997409245523385
"pro",16.3058349627505,393135.49241348,0.56,1.16285695413678
"tot_avg",12.8496015706962,362927.170988862,0.44,1.10185204003729
"arima+arima_reg",11.9966249436168,366844.924430339,0.52,1.13325751616378
"arima+RF",11.013175218804,337977.275247803,0.48,1.08775297800889
"arima+xgb",14.0861405509998,412555.783389635,0.36,1.04521811667121
"arima+pro",13.6676691341287,345109.591526821,0.48,1.12794197097791
"arima_reg+RF",11.0052642047159,345282.910391765,0.48,1.12798350635363
"arima_reg+xgb",13.4791449262022,417879.009999073,0.36,1.08544864501595
"arima_reg+pro",12.9645878987949,348679.188617738,0.56,1.16817249932265
"RF+xgb",15.0300412905451,491388.099858936,0.4,1.03994410686106
"RF+pro",13.9927355958823,377237.128938707,0.52,1.12266796116776
"xgb+pro",17.6032309922378,473411.696624233,0.48,1.08013309983008
"arima+arima_reg+RF",11.3205300114734,335993.329291421,0.52,1.11633133350877
"arima+arima_reg+xgb",12.7679967885058,374804.743808951,0.52,1.08797475928365
"arima+arima_reg+pro",12.8293129983338,344284.682863865,0.52,1.14312399548812
"arima_reg+RF+xgb",12.635916212348,401116.398465426,0.4,1.08445875274355
"arima_reg+RF+pro",12.2025724684094,342915.333243767,0.52,1.13960798894802
"RF+xgb+pro",12.635916212348,401116.398465426,0.4,1.08445875274355
"Linear Model Blend",11.1449974847944,302130.794892051,0.6,1.12896221076062
