index,value
2010 Jan,63981
2010 Feb,3794
2010 Mar,3075
2010 Apr,32109
2010 May,3796
2010 Jun,27048
2010 Jul,580874
2010 Aug,651768
2010 Sep,529790
2010 Oct,126324
2010 Nov,5593
2010 Dec,51936
2011 Jan,54059
2011 Feb,5111
2011 Mar,6710
2011 Apr,2043
2011 May,6071
2011 Jun,57103
2011 Jul,572856
2011 Aug,557078
2011 Sep,495858
2011 Oct,104831
2011 Nov,2590
2011 Dec,33601
2012 Jan,712
2012 Feb,22011
2012 Mar,33453
2012 Apr,2703
2012 May,12856
2012 Jun,97454
2012 Jul,588658
2012 Aug,678259
2012 Sep,494906
2012 Oct,108822
2012 Nov,4920
2012 Dec,2858
2013 Jan,55288
2013 Feb,560
2013 Mar,5610
2013 Apr,3538
2013 May,8948
2013 Jun,171587
2013 Jul,582375
2013 Aug,695418
2013 Sep,356940
2013 Oct,114658
2013 Nov,22300
2013 Dec,11360
2014 Jan,75580
2014 Feb,17300
2014 Mar,10500
2014 Apr,2895
2014 May,21284
2014 Jun,183910
2014 Jul,642216
2014 Aug,755720
2014 Sep,459688
2014 Oct,62692
2014 Nov,750
2014 Dec,1529
2015 Jan,29461
2015 Feb,4644
2015 Mar,5100
2015 Apr,2720
2015 May,2880
2015 Jun,282226
2015 Jul,735424
2015 Aug,622661
2015 Sep,433286
2015 Oct,42124
2015 Nov,11810
2015 Dec,3490
2016 Jan,57892
2016 Feb,18795
2016 Mar,10940
2016 Apr,5490
2016 May,4520
2016 Jun,202679
2016 Jul,717602
2016 Aug,585503
2016 Sep,366957
2016 Oct,50649
2016 Nov,41410
2016 Dec,1780
2017 Jan,2970
2017 Feb,20820
2017 Mar,89200
2017 Apr,4870
2017 May,23600
2017 Jun,154348
2017 Jul,625955
2017 Aug,625691
2017 Sep,276385
2017 Oct,24230
2017 Nov,3500
2017 Dec,20680
2018 Jan,3170
2018 Feb,40120
2018 Mar,10260
2018 Apr,2000
2018 May,350
2018 Jun,133775
2018 Jul,745105
2018 Aug,664388
2018 Sep,371916
2018 Oct,71439
2018 Nov,63981
